mip19,mip19_cat
i don't want drugs to be legalized,NA
to keep conservatives out,NA
my personal rights,NA
to get a more conservative leadership in place,NA
more democracy,NA
access to medical care,NA
looking after seniors.,NA
world peace/no wars,NA
moral issues,NA
"the western provinces i feel are not being treated fairly. we can't get rid of our products, potash and oil, especially. the best way to haul oil is pipelines. and the equalization payments, we always supply money. we're not a have province.",environment
promise made should be kept by politicians,NA
support for the fossil fuel industry in canada,NA
gotta get rid of trudeau,leadership
fair and just results,NA
economy in alberta,NA
the deficits,debt_deficit
democratic reform,NA
get back to balancing the budget and stop wasting tax payer money,taxes
balance the budget.,NA
figuring who is not going to tell lies and do the right thing.,NA
equality across the provinces,NA
carbon tax and taxes in general,taxes
"shutting down industries across the country, and especially in b.c.",NA
balance between programs that help those that need help and economic development,NA
i think accountability.,NA
"honesty, sincerity and be straightforward",NA
"gun control, don't agree with the way politicals want to take away our guns",NA
level of taxation.,taxes
senoir services,NA
changing the government from what it is,NA
"we need someone who is responsible for the residents of canada, cause trudeau has been spending money on foolish things",leadership
the legal system or the lack of it. there isn't much done about drug trafficking.,NA
credibility,NA
the way senior citizens are treated,NA
"climate change, who gets elected",environment
"loss freedom of speach, people being bullied by government or media",NA
plastic control,NA
"keeping canada working, keeping infrastucture working and keeping jobs going",jobs
changes to pollution and environmental concerns,environment
keeping the country unified and providing fair services to everybody; so equality is a big concern. access to medical things like that,NA
keeping the economy solvent,NA
the environnement,environment
affordability and high cost of things.,NA
financial security,NA
having all canadians having accessibility to clean drinking water,NA
health care and economy,health care
the finances of our country,NA
environmetal issues.,environment
our government does not respect the people in the military who fight for our country,NA
removing the current prime minister.,NA
some elected officiales hasve to follow p'rty line instead instead of their own conscionce or thedir constitguents needs,NA
don't have to pay more taxes,taxes
income for senior citizens.,NA
"healthcare, education.",health care
to have first past the post voting system,NA
people who struggle financially in our society.,NA
senior citizens being looked after with medicare and drugs,NA
military spending,NA
health care as a senior citizen,health care
job market,NA
lots of issues,NA
strong leadership,NA
extended medicare,NA
national pharmacare,NA
freedom of speach,NA
stable government,NA
related to job creation and economic prosperity,NA
infrastructure rebuild.,NA
food and shelter for all,NA
the waste of our taxpayers money,taxes
keep schools clean,NA
keeping the economy strong,NA
"tax breaks for the working class, free pharmacare, dental care for seniors and people who don't have dental care.",taxes
"integrity, the environment, taxes, overspending by government, the character of the leaders and treatment of indigenous people.",environment
keeping conservatives out,NA
that our government quits giving our money away to other countries.,NA
i would like money in my pocket than the government spending it; concerned about the climate,environment
aboriginal people,NA
"avoir un bon chef de parti et etre bien représenté, et que notre partie travaille dans l'intérêt la culture québecoise",NA
l'emploi,NA
pénurie de main d'oeuvre,NA
le troisième lien,NA
"equal opportunity for english and french, and the provinces",NA
ressource pour personnes agées,NA
services publics,NA
augmentation des pensions de vieillesse,NA
to respect a budget and quite putting us in deficits that my great grandchildren will be paying.,debt_deficit
les droit du quebec,NA
environnement et l'équilibre budgetaire,environment
canada respect le québec,NA
"service aux familles (enfants, ecole etc)",NA
country back on track/moral and ethical issues,NA
carbon tax.,taxes
"honesty, transparency, and making canada proud because this government is not doing it",NA
"misinformation and positive information around climate change and pipelines. what really bothers me is the left side of the spectrum in politics will crucify anyone who questions anything about climate change. and, the media does a lot of that. this is what bothers me.",environment
"immigration -interested in what the parties stance is on it. proper settling of refugess. if the party is not for immigration, i will be against them.",immigration
"welfare for seniors, healthcare and dental care",health care
truthfulness.,NA
"having a pm that doesnt lie, that supports the people, not the rich",NA
"status of western canadians - transcanada pipeline, carbon tax, farmers",taxes
"honesty , i'm trying to determine which political leader i mistrust the least",NA
new gov,NA
the way medical and disabilities are treated,NA
more money for seniors,NA
money going out of the country that could be helping ppl in this country (money),NA
medical,NA
social standards,NA
justice reform,NA
economic enviornmental issues,NA
trying to make it easier for the people trying to survive,NA
"what is really important to me, i think that corporations need to be held accountable for all they do for the environment. fast food corporation need to be held accountable there needs to be a recycling program in place. homeless people could pick the trash up and get compensated by the fast food place.",environment
politicians not lying,NA
affordability for young families,NA
just change,NA
our debt,debt_deficit
gov't being accountable for money they spend,NA
balancing our budget,NA
"fiscal money responsibility,",NA
"the tax distribution, how tax cuts are going to be handled.",taxes
spending.,NA
avoiding a conservative government,NA
health care for seniors,health care
moral compass,NA
democracy and the process of representation,NA
income inequality,NA
"corporations taking away from people, dishonesty, giving money away to other people, not taking care of canadians",NA
proportional voting,NA
first nations self-determination.,NA
legal system,NA
"that we continue to progress with socially oriented programs that benefit people. that includes climate control, among other things.",environment
affordability for houseing,NA
economy/finance,NA
benefits to those less fortunate,NA
equal representation,NA
climate crisis and indigenous rights,environment
i just want to get trudeau out and get the conservatives in. i think that all the laws that justin has broken in the nca lavalin mass immigration and whoever runs this country should abode by laws and those that break them should not be allowed to run in this federal election,leadership
energy and carbon tax,taxes
to get andrew scheer in,NA
accountability.,NA
job,NA
the outcome is to elderly people like myself with disabilities,NA
"efficacy and efficiency, betterment of the country as a whole",NA
living affordability,NA
utilizing canada's energy sector,NA
addressing social issues,NA
"funding for education, funding for youth and family services (things like mental health services, things like that), and funding for the environment.",environment
armed forces - how they are treated,NA
change in leadership. the current prime minister ethics or lack of.,ethics
aide aux ainés,NA
la transparence au niveau de la politique,NA
une bonne representation du québec opinion du québec et valeurs,NA
minorité,NA
personne agées,NA
baisse de loyer,NA
s'occupe des ainees,NA
démocratie,NA
tout ce que est relatif ã  l'environnement.,environment
l'oppurtunite pour les immigrants au canada,immigration
amount of news coverage to snc lavallin,NA
pas fashisme,NA
diminution du cout de l.état,NA
safety,NA
économie du pays,NA
equilibre budgetaire,NA
l''économie,NA
"les valeurs ' pro life' les marriages du meme sexe, l'abortion.",NA
envoronnement,NA
inquiétudes concernants les immigrations de masse,immigration
cost of living for single average aged 25yrs women,NA
"que le candidat tienne ses promesses electorales, sinon on devrait l'exclure.",NA
soins medicaux et l'aide aux familles,NA
environnnement,environment
armes a feu,NA
integrite,NA
issues on abortion,NA
protection des données,NA
l'avenir de mes enfants,NA
"que les politiciens ne se fassent pas influencer par les multinationales, les lobby, les grandes banques, consortiums econoniques et qu'ils se tiennent debout",NA
édication,NA
la justice,NA
fiscalité,NA
transport pan-canadien du petrole,NA
mode de scrutin a changer,NA
"économie: manque de main d'oeuvre, moins d'impôt sur l'overtime pour encourager le travail",NA
environnement et le climat,environment
environnment,environment
la santé et personnes 'gées,health care
l'économie familiale,NA
balance between environmental protection and murders of indigenous women.,environment
"human rights, climate change, equal rights",environment
climate issues,environment
"i wish there would be more honesty and integrity. pharmacare is so much more expensive in ns than in on, this cost is annoying. indigenous situation is way out of proportions. andrew sheer will just cut services.",NA
transparency of politicians,NA
probably the defecit.,NA
lack of ethics,ethics
cut on carbon tax,taxes
basically a leader that would speak his mind and not just say everything. i want promises not empty promises basically,NA
future tax rates,taxes
primarily that the conservatives dont win. it about corruption and so much of that going on with them sees like to much money and to me the conservatives stands for corruption.,NA
"climate change, making sure that an american doesn't get into parliament.",environment
controlling government spending,NA
one being student tuition - seeing that there are certain parties are changing grace period or eliminating tuition although. also climate because it is a global issue.,environment
"freedom of religion, expression",NA
investments in the future,NA
elect members that are in power in our area (as opposed a minority),NA
getting people to vote.,NA
daycare cost and parenting,NA
heath care,NA
jobs and security of the country,jobs
integrity of the politicians.,NA
bring down taxes,taxes
childcare,NA
climate change and garbage,environment
i would say the economy first and then the environment if it is possible that rich people and poor people not be so maybe we need to lower taxes for the lower class and middles class,environment
economic climate.,environment
that the right party gets in.,NA
regulation of tele communication,NA
national security,NA
elected person will help make everyone feel they belong to canada,NA
in his particular election i was disappointed with the current government the only reasonable option scares me more compered to the disappointed i have experienced. i hope we can continue to be civilized to each other or maybe improve our civility,NA
marijuana usage (addiction),NA
fiscal responsibility and immigration,immigration
freedom to choose,NA
get in office truly and honestly for the people. work for the people,NA
keeping jobs and not cutting income back.,jobs
get oil moving,NA
for me it's the fact that we didn't get election reform i don't have a problem with the liberals doing its just the party that i am voting for the ndp won't have the power i think it should in the legislative.,NA
who is going to lie to me the least,NA
health benefits,health care
"i'd just like a government that works for the people, that isn't lead by a leader who isn't a liar and has no respect for women. i'd like to feel good about being a canadian again, and not a kind of doormat for the whims of ontario and quebec.",NA
i am prochoice and am concerned that women maintain their right to make choices about pregnancies. i'm very concerned about canadians being able to make a choice about ending their lives with assistance.,NA
employment.,NA
"carbon taxes applied to essential heating oils and natural gas that is required to heat housing, and there's little choice as to how much of it you can use. the liberal government hasn't released a statement showing where this money is going. i don't think people that are retired should be paying gst or pst or this new carbon tax.",taxes
old age benefits,NA
canada's interest with regards to american interests. we didn't get a fair shake in the newnafta agreement,NA
ensuring that we have a government that at least honours democracy,NA
economy prices such as gas,NA
just a change in a government - i'm ready for a change,NA
look after natives,NA
budgets,NA
"taking care of the poor, homeless, children and indegnous issues.",NA
new government and that they concentrate on the benefits to canadians not just to the government,NA
womans right,NA
not having scheer,NA
it would have to be climate change,environment
energy sector,NA
education and healthcare.,health care
the next prime minister is honest,NA
fairness policy,NA
humanitarianism and climate,environment
helping families through child care benefits and with health care costs,health care
keeping the earth healthy.,health care
"the ability to look after the environment, our sustainability",environment
behaviour of the current prime minister,NA
resitatutioun,NA
corporate corruption and climate change.,environment
honest and staying with what the people promise,NA
climate: what party is going to better represent my views and climate change and reducing fossil fuels without canadians losing tons of jobs must transition to reducing fossil fuel to other options,environment
"deficits and disappointment in promises made in previous election that were not met, ethic's violations while liberals were in power",debt_deficit
economy in canada,NA
the abortion issue,NA
goverence,NA
that they look after the low income people and the middle income people.,NA
represented well by our leaders,NA
proper financial.,NA
an honest candidate,NA
corruption and accountability of elected and un-elected government officials,NA
no discrimination,crime
climate change and personal representation,environment
integrity of candidates i would like to see values & passion i dont want to see corporate agendas and i want to see agendas for the people.,NA
true honesty,NA
most important would be environment and affordably housing is second,environment
housing affordibility,NA
NA,NA
